Filename,job title,years of experience,highest level of education,language skills,key skills,Summary,job title embedding,highest level of education embedding,language skills embedding,key skills embedding,Summary embedding,similarity
96761538.pdf,Customer Service and Sales Associate,0.25,,,"Customer service, sales, knowledge of strains, trimming, cash handling, POS system knowledge, Microsoft Word proficiency, active listening, cleaning, promoting and selling merchandise, selecting products, maintaining displays, replenishing stock, assisting with kindergarten teaching, Africana studies, kinesiology and wellness, medical marijuana recommendation, trimming experience","Experienced Kids Club Attendant with 2 years of experience and a Bachelor's degree in Africana Studies. Fluent in English and knowledgeable in strains and their effects. Skilled in customer service, cash handling, and Microsoft Word. Previous experience as a Service Representative and Retail Sales Associate. Currently attending Pasadena City College for a degree in Kinesiology and Wellness. Certified in Medical Marijuana and experienced in trimming. Seeking a position as a budtender to utilize customer service skills and extensive knowledge in medical marijuana to build lasting relationships with patients and community members.
","[-0.01395834 -0.00242887  0.00696629 ... -0.01130574  0.01256122
  0.02377039]",,,"[-0.01432649  0.04185172  0.03388792 ... -0.02137139 -0.01144448
  0.01964497]","[-0.0181678   0.00253595 -0.00468123 ... -0.01789604  0.00947117
  0.01691766]",0.29924661814133413
19936735.pdf,"Consultant, Sr. Director, Operations Director, Brand Manager, On-Air Personality",29.41,Associate of Arts,,"Broadcast Management, Media Sales, Radio Station Programming, On-Air Broadcast execution, Affiliate Sales Manager, Local Brand Manager, On-Air Personality, Social Media Integrator, Digital Content Developer, Email Marketer, Media Consulting, Digital Content Analysis, Syndicated Development and Management, Affiliate Sales Management and Analysis, Radio and Podcasting Brand Management Development, Digital Content Delivery and Music Scheduling, Social Media Integration and SEO Development, Website Development and Consulting Services","This consultant has over 20 years of experience in broadcast management, media sales, radio station programming, and on-air broadcast execution. They have an Associate of Arts degree in Mass Communications and are fluent in media consulting, digital content analysis, syndicated development and management, affiliate sales management and analysis, radio and podcasting, brand management development, digital content delivery and music scheduling, social media integration and SEO development, and website development and consulting services. They have achieved notable success as a major market on-air personality, brand manager, and have created and developed several syndicated radio shows. They have also successfully distributed national broadcast products and increased market share for many radio consolidators across the country.
","[ 0.0177686  -0.00973631  0.00554496 ... -0.0207369   0.01748001
  0.00169801]","[-0.00700483 -0.00367675 -0.00254042 ... -0.02006182 -0.01897841
  0.04854188]",,"[ 0.00915777  0.02392077  0.04217275 ... -0.0164217  -0.00943739
  0.01353646]","[ 0.00611504  0.02679356  0.03348177 ... -0.01560131 -0.0109684
 -0.01212154]",0.2918621942341386
23398733.pdf,Tutor,2.5,Certificate of Graduation with Honors,,"ICD-10-CM/PCS, CPT and HCPCS II coding, medical terminology, anatomy & pathophysiology, Latin, Debate, Literature, Composition, Algebra, Science, Geography, History, parent mentoring, office management, financial tracking, negotiation, sales, recruiting, computer systems, organization, self-motivation, attention to detail, communication, grammar.","Experienced and detail-oriented Tutor with 2 years of experience in homeschooling and 6 years of experience as an Office Manager. Holds a Certificate of Graduation with Honors from Career Step Professional Medical Coding and Billing Program, with training in ICD-10-CM/PCS, CPT, and HCPCS II coding. Fluent in English and proficient in medical terminology and anatomy. Skilled in computer systems, organization, self-motivation, and communication. Member of American Academy of Professional Coders (AAPC) and American Health Information Management Association (AHIMA).
","[-0.04815639 -0.02093345  0.00279889 ... -0.02465855 -0.02430764
 -0.0101563 ]","[ 0.02113277  0.00633983  0.02064011 ... -0.03267153 -0.00227696
  0.02131428]",,"[-0.04467219  0.00838102  0.10126405 ... -0.01692169 -0.01658911
  0.00131785]","[-0.01485259  0.00709609  0.05744211 ... -0.00931686 -0.01838769
 -0.0073486 ]",0.2879504539997836
11257723.pdf,General Liability Claim Representative,10.75,B.S in Journalism,,"Claims file management processes, Litigation resolution, Strong interpersonal and communication skills, Self-directed, Team player, Critical thinker","This resume highlights the experience and skills of a General Liability Claim Representative with several years of experience in the insurance industry. The candidate has a strong background in claims file management, litigation resolution, and strong interpersonal and communication skills. They have a Bachelor's degree and are fluent in English. They have experience in managing a team, coaching and developing employees, and analyzing team results to implement action plans for improvement. They have also been recognized for their outstanding customer service and ability to successfully investigate and negotiate claims.
This candidate has a Bachelor's degree in Journalism from Southern Illinois University and has experience in managing litigated claims and multimillion dollar settlements. They have strong skills in coverage analysis, customer service, presentations, litigation management, claim investigations, and time management.
",[0.02360817 0.00315437 0.00364434 ... 0.0055818  0.02772007 0.05044438],"[ 0.00398565  0.01365831  0.00069308 ... -0.0094422   0.01076397
  0.01718981]",,[0.00729576 0.01559491 0.04074018 ... 0.00891569 0.0160422  0.00412842],[0.01147994 0.02383931 0.0444937  ... 0.0153779  0.01711296 0.03001899],0.2865997368478223
12491898.pdf,Construction Laborer,,,,,"Construction laborer with several years of experience and a high school diploma. Fluent in Spanish and skilled in various software and computer systems. Previous experience includes both paid and volunteer work, with the most recent position being at Almeda-Genoa Constructors.
This resume belongs to a candidate with experience in an unspecified job title for an unspecified number of years. They have a high school diploma and are proficient in Spanish. Their key skills include listing three professional references and completing a certification process.
free. You can get a free copy of your credit report once reporting agency to deny your application for credit, insurance, or a job - or to every 12 months from each of the three nationwide consumer take another adverse action against you - must tell you, and must give you the reporting agencies. To order your free annual report from one of name, address, and phone number of the agency that provided the information. these agencies, visit www.annualcreditreport.com, call toll-free 1-877-322-8228, or complete the Annual Credit Report Request Form on the back of this

This resume is for a job at Dragados USA with a willingness to work at will. The applicant has agreed to comply with all employment policies
This individual has extensive experience in the consumer reporting industry and holds a high level of education. They are proficient in language skills and possess key skills such as attention to detail and communication. They have a strong understanding of the Fair Credit Reporting Act (FCRA) and the rights of consumers, including the right to obtain a free file disclosure and the right to request a credit score. They are also knowledgeable about identity theft and the rights of active duty military personnel.
This resume belongs to a Compliance Management professional with several years of experience in the field. They hold a high level of education and are proficient in Microsoft Office and reporting. They have a strong background in healthcare management, hospital operations, and regulatory compliance. They are also skilled in team leadership, problem solving, and process improvements. They have experience as a Construction Laborer and are proficient in operating equipment and managing inventory. They are a motivated and compassionate Certified Nursing Assistant with knowledge of medical terminology and procedures. They have excellent communication skills and are able to handle difficult situations with ease.
This Supply Chain Specialist has 4 years of experience and a high school diploma. They are fluent in English and have skills in analysis, project management, team leadership, customer satisfaction, performance reviews, cross-functional collaboration, revenue generation, policy development, and staff training. They also have certifications in heavy equipment operation, OSHA, NCCER, construction site safety, and introductory craft skills. They have also completed a CNA program and are licensed/certified as a home health aide and nurse's aide.
","[-0.02863377  0.01373666  0.00015033 ... -0.00732712 -0.01084899
  0.01735299]",,,,"[-0.00799023  0.03234369  0.03945219 ...  0.01757987 -0.00291859
 -0.01290467]",0.2845714129123502
64471954.pdf,Healthcare Customer Service Representative,9.5,Diploma,,"Telecommunications knowledge, problem solving ability, customer service standards, active listening skills, telecommunication skills, Microsoft Office proficiency, time management, communication skills, HIPAA compliance, typing speed of 60 WPM","Experienced Healthcare Customer Service Representative with over 10 years of experience and a diploma from Rowan-Cabarrus Community College. Fluent in English and proficient in Microsoft Office. Skilled in telecommunications, problem solving, active listening, and time management. Currently responsible for handling inbound calls and providing solutions for customers' health and financial needs. Previous experience as a Custodian and Customer Service Manager, with a track record of mentoring and developing employees and maintaining accurate records. Received certification for training new hires in customer service roles.
","[-0.00773345 -0.01283741 -0.00178297 ...  0.0097986   0.00847145
  0.02929658]","[ 0.02201175  0.03873636  0.00213778 ...  0.00867926 -0.0128267
 -0.00198942]",,"[-0.02411733  0.0179705   0.04642895 ...  0.01350571 -0.00472452
  0.01510116]","[ 0.00657544  0.00668991  0.04598995 ... -0.00013176  0.01580905
 -0.00210649]",0.2842550323840316
21297828.pdf,Public Relations and Event Planning Assistant,2.25,Bachelor of Arts in Journalism Public Relations,,"Writing and editing skills, Microsoft Office, Excel, PowerPoint proficiency, Special events planning, Multi-media marketing, Press releases, Public relations, Self-starter, TV, Verbal communication skills, Website management, Event management.","This candidate is a highly motivated Public Relations and Event Planning Assistant with 3 years of experience and a Bachelor's degree in Journalism Public Relations. They are proficient in Microsoft Office, Excel, and PowerPoint and have strong written and verbal communication skills. They have experience in writing press releases and media advisories, managing special events, and coordinating services for events. They also have experience in social media management and event planning for professional development. They have a certificate in Event Management and skills in book editing and multi-media marketing.
","[-0.02524347  0.00045604  0.01295578 ... -0.00060096  0.02965813
  0.01658445]","[-0.0178842  -0.0127091   0.00879768 ... -0.00279065  0.01192079
  0.03001561]",,"[ 0.00728152  0.04294942  0.05354733 ...  0.00251913 -0.00893668
  0.00337399]","[-0.00693528  0.02597739  0.03550159 ...  0.01480283 -0.00753999
  0.007477  ]",0.2777059012807254
10554236.pdf,Financial Accountant,9.0,,,"Financial planning, reporting, analysis, account reconciliations, critical thinking, accounting operations, ERP software, facilitation, tiger team, financial systems analysis, automated tools development, budget coordination, decision support, financial advice, budget management, Defense Travel System (DTS), General Accounting and Finance System (GAFS)","Experienced Financial Accountant with a Bachelor's degree and strong language skills, specializing in financial planning, reporting, and analysis within the Department of Defense. Skilled in account reconciliations, financial reporting, critical thinking, and ERP software. Accomplishments include serving on a tiger team to identify and resolve accounting discrepancies totaling $360B and developing an automated tool that saved HQ USAFE over $5M in duplicate obligations. Previous experience includes working as a Resource Advisor for a squadron, managing a $4.6M budget and coordinating with multiple organizations to meet mission requirements.
1ACOS to identify and resolve systemic issues.

The candidate has over 10 years of experience as a Staff Accountant, with a Bachelor's degree in Accounting. They are fluent in English and have strong skills in budget management, financial oversight, and data analysis. They have experience with Defense Travel System (DTS) and General Accounting and Finance System, and have successfully completed a self-inspection and yearly audit with zero findings. They have also developed automated tools to improve efficiency and identify duplicate obligations, and have established performance metrics to ensure effective use of financial resources. They have collaborated with other departments and agencies to resolve issues and improve processes.
The candidate has over 10 years of experience as a Chief in the Reports Branch of Accounts Maintenance and Control. They have a Bachelor's degree and are proficient in the use of the Open Document Analysis tool. They have also successfully resolved issues with GPC accounts and implemented cost-saving measures, such as remote training, which received recognition from the ODA Program Management Office. They have experience in reorganizing and staffing a branch, developing performance standards, and participating in initiatives to eliminate suspense accounts.
Experienced Chief of Accounts Payable with 7 years of experience and a Bachelor's degree. Fluent in English and skilled in managing large teams, streamlining processes, and ensuring compliance with financial regulations. Successfully reduced reconciliations from $6.9 million to $1.1 million and oversaw the transition of reporting requirements for a major workload. Instrumental in reducing overaged invoices and backlog of vendor pay documents through strategic partnerships and personnel assistance. Conducted personnel feedback sessions and prepared performance appraisals.
Experienced Chief of Recon and Reports Branch with a Bachelor's degree and strong language skills. Skilled in establishing Employee Performance Plans and analyzing Vendor Pay workflow and production. Proficient in Louis II data retrieval software and managing budget resources. Able to effectively communicate technical information to various stakeholders and participate in video teleconferences and briefings. Supervised a team of 22 employees and coordinated with other organizations to ensure accurate financial reporting.
The candidate is a Chief of Accounts Payable with 4 years of experience and a Bachelor's degree. They have strong language skills and key skills in leadership, resource management, program analysis, and equal opportunity. They have experience in directing and guiding subordinates, ensuring timely and accurate workload, and managing resources and budgets. They also have experience in long-range planning, goal setting, and personnel management. They are responsible for ensuring compliance with laws and policies, promoting equal opportunity, and ensuring the safety and health of their subordinates.
Experienced Accountant with over 25 years of experience in the finance and accounting field. Holds a Bachelor's degree in Accounting and is fluent in Louis II data retrieval software. Skilled in budget management, vendor pay system structures, and resolving complex financial issues. Has strong communication skills and has been selected to represent the company in various training and briefing sessions. Has also provided recommendations to improve processes and prevent recurring problems.
2001

This candidate has over 20 years of experience as a Chief Account Control, with an Associate degree in Accounting and additional coursework towards a Bachelor's degree. They are proficient in commercial and government accounting systems, and have attended various workshops and training programs to stay updated on accounting policies and procedures. They are also certified in their field.
This resume belongs to a Defense Financial Manager with 15 years of experience and a Certified Defense Financial Manager (CDFM) certification. They have a Bachelor's degree and are a member of the American Society of Military Comptrollers. Their language skills are not specified, but their key skills include accounting, general accounting, accounts payable, and program management.
","[-0.02163241 -0.00673208  0.02187605 ... -0.0249151   0.01784962
  0.03144201]",,,"[-0.03673032  0.02028913  0.10344457 ...  0.02235052  0.02751026
  0.0401285 ]","[ 0.01120674  0.02093015  0.07059683 ... -0.01675669  0.03771198
  0.00313324]",0.2776732691387093
36269672.pdf,Floral Designer,44.0,,,"Retail sales management, leadership, communication, problem solving, training, motivation, merchandising, human resources, floral design, customer service, inventory management, store operations, team leadership, employee training, window display design.","This floral designer has over 44 years of experience in the retail industry, with a background in sales, management, and owning a retail store. They have exceptional leadership, communication, and multitasking skills, and are fluent in English. They have been recognized for their dedication and going above and beyond in their roles. Their most recent experience includes working as a floral designer and eventually managing a floral shop, as well as being a sales partner at Brighton Collectables where they provide excellent customer service and merchandise inventory. They also have experience as an owner, manager, and designer of a retail shop, where they were responsible for all day-to-day operations, HR work, and merchandising.
","[ 0.00273526  0.01339051  0.02032006 ... -0.02318844 -0.03064339
 -0.01035883]",,,"[-0.02134754  0.05504772  0.05774374 ... -0.00157319 -0.00772653
  0.0137987 ]","[ 0.02335759  0.02005203  0.04926188 ... -0.01800695 -0.01771113
 -0.00593586]",0.276577266071783
22056333.pdf,Assistant Teacher,0.5,,,"Positive and cheerful, Active listener, Head Start program knowledge, Certified in Early Childhood Education, Infant, toddler and preschool curricula, Reliable, Approachable, Playful, Highly organized","This candidate is an experienced Assistant Teacher with a background in Early Childhood Education. They have a positive and cheerful attitude and are skilled at managing children's behavior. They are certified in Early Childhood Education and have experience with infant, toddler, and preschool curricula. They are also fluent in Spanish and have strong organizational skills.
","[-0.03050311 -0.04624848 -0.04035102 ... -0.00227504 -0.01969581
  0.00356951]",,,"[ 0.00589507 -0.04003943 -0.02274723 ... -0.02415802  0.00114038
 -0.00288707]","[ 0.01878959 -0.02574512 -0.01808921 ...  0.0056091   0.0076378
  0.00506872]",0.2727330288655325
37333719.pdf,Sexual Assault Crisis Counselor / Victim Advocate,8.5,Master of Social Work,,"Active Listening, Curriculum Development, Group Facilitation, Crisis Counseling","This candidate is a highly experienced Sexual Assault Crisis Counselor and Victim Advocate with over 10 years of experience. They hold a Master of Social Work from Fordham University and have strong skills in Microsoft Office and general computer use. They are fluent in English and have experience in community outreach, legislative advocacy, and providing support and counseling to victims and their families. They also have experience as a Clinical Social Work Intern, Community Educator Intern, and Supervisor, and possess skills in active listening, curriculum development, group facilitation, and crisis counseling.
","[-0.03134539  0.0153414   0.01313703 ...  0.00275865 -0.04054513
  0.01722722]","[ 0.00110314 -0.01025278 -0.04889496 ... -0.00020018 -0.01444107
  0.01671525]",,"[-0.05653156  0.00981044  0.04126644 ... -0.0221917  -0.02173881
 -0.01192171]","[-0.00545621  0.01454582  0.02102967 ...  0.0136283  -0.04149658
  0.00682027]",0.2694171820408902
37402097.pdf,Medical Assistant,2.5,Clinical Medical Assistant Program,,"Medical Terminology, Anatomy and Physiology, patient care, EMR software, front office, injections, ultra-sound","This highly motivated and hardworking Medical Assistant has 3 years of experience and a Clinical Medical Assistant certification from South West Schools. They also have a high school diploma and are proficient in Microsoft Office and various operating systems. Their language skills include fluency in English. They have excellent clinical skills, including knowledge of medical terminology, anatomy and physiology, and experience with patient care and administering medications and injections. They also have administrative skills, such as customer service experience and knowledge of billing and coding procedures.
","[-0.01468743  0.02763805  0.03347778 ... -0.01274925 -0.02503282
  0.02335893]","[-0.0288282   0.01196896  0.04472161 ... -0.00083364 -0.03371849
  0.02129717]",,"[-0.04753517  0.0083617   0.05781446 ...  0.0062354   0.00794427
  0.00550816]","[-0.01250016  0.03632192  0.0426239  ...  0.01202385 -0.04088963
  0.01951662]",0.2671218392094162
10818478.pdf,Retail Sales Consultant,5.5,High School Diploma,,"Administrative, Cash handling, Excellent communication, Interpersonal skills, Detail-oriented, Merchandising, Self-motivated, 70 WPM","This experienced Retail Sales Consultant has over 5 years of experience and a high school diploma in Business/Computers. They are proficient in English and have strong skills in customer service, sales, and team management. They have a track record of exceeding sales goals and have been recognized as ""Employee of the Month"". They are detail-oriented, self-motivated, and have a typing speed of 70 WPM.
","[-0.00528373  0.02084636  0.00821074 ...  0.02938003 -0.02347104
  0.02653547]","[-0.01314958 -0.04581838  0.02187336 ...  0.02117385 -0.02472524
  0.01212048]",,"[-0.02415235  0.04013167  0.03664766 ... -0.00343162  0.0083302
  0.00431245]","[-0.01214947  0.05439117  0.03594877 ...  0.01265543 -0.0050217
 -0.00462957]",0.26697855375046314
21705160.pdf,Graphic Designer,0.0833,,,"Graphic Designer, posters","Rowena is a Graphic Designer with 1 year of experience. She has a Journalism degree from De Anza College and is fluent in English. She also has experience as a Human Resource Manager and Sales Person. Rowena is skilled in creating event posters and is passionate about fashion journalism.
","[-0.01842177  0.02581472  0.01671157 ... -0.00097714 -0.00559858
  0.01212632]",,,"[-0.03191844  0.02645563 -0.00769346 ...  0.00590504  0.036887
 -0.04050286]","[ 1.30094308e-02  4.04022932e-02 -4.86261817e-03 ... -9.35723074e-05
  2.34183166e-02 -1.57775376e-02]",0.2660510766406219
23139437.pdf,"Summer camp counselor, Sales associate/cashier, Usher",3.5,Veterinarian assistant certificate from Middlesex County College,,"Pet first aid certified, knowledge in vet nursing and pharmacology, friendly, caring, organized","This candidate has 3 years of experience as a summer camp counselor and 2 years of experience as a sales associate and cashier. They have a Veterinarian Assistant certificate from Middlesex County College and a Pet first aid certificate. They are fluent in English and have strong skills in pet first aid, vet nursing, pharmacology, and organization. They are also friendly and patient with both animals and people.
","[-0.07260562 -0.0001136   0.01739337 ... -0.01342405 -0.01922643
  0.0350624 ]","[-0.02478199  0.00367658  0.05576252 ...  0.01329647 -0.00907903
  0.0468658 ]",,"[-0.01679284 -0.0273924  -0.00794355 ... -0.00135631 -0.01254567
  0.00175945]","[-0.0244859   0.01019269  0.06149462 ...  0.01058322 -0.02214275
  0.03113784]",0.23929585380291815
